okres,tytul,autor,pozycja_w_rankingu,zmiana_w_rankingu,ocena,liczba_ocen,liczba_czytelnikow,liczba_recenzji
05-2025,Paderborn,Remigiusz Mróz,91,awans,7.4,4697,7410,548
05-2025,Mgły z Donlonu,Magdalena Kubasiewicz,92,nowosc,7.4,768,1181,108
05-2025,Nieboskłon,Mariusz Kanios,93,nowosc,7.7,1343,1864,250
05-2025,Noski. Tak ćpają polskie dzieci,"Piotr Mieśnik,Magda Mieśnik",94,nowosc,7.8,734,1711,138
05-2025,W środku nocy,Riley Sager,95,spadek,6.9,1474,2619,265
05-2025,Szklany Tron,Sarah J. Maas,96,spadek,7.8,15944,32149,1678
05-2025,Słowik,Kristin Hannah,97,spadek,8.3,14469,27020,1955
05-2025,Berdo,Anna Cieślar,98,nowosc,7.3,509,1656,137
05-2025,Góry śpiewają,Nguyễn Phan Quế Mai,99,spadek,7.9,622,1934,138
05-2025,Katharsis,Maciej Siembieda,100,spadek,8.2,3473,6537,612
05-2025,Krew na rękach,Agnieszka Peszek,101,nowosc,7.3,616,970,145
05-2025,Czerwień,Małgorzata Oliwia Sobczak,102,spadek,7.3,7767,13029,1212
05-2025,Siostry Blue,Coco Mellors,103,nowosc,7.2,723,1981,148
05-2025,Szczęścia można się nauczyć,"Ewa Woydyłło,Agnieszka Radomska",104,nowosc,7.3,793,1484,107
05-2025,Posłaniec,Krzysztof Barrek,105,awans,7.1,271,479,57
05-2025,Nocami krzyczą sarny,Katarzyna Zyskowska,106,spadek,8.1,4293,8727,718
05-2025,Życie Violette,Valérie Perrin,107,nowosc,7.8,7809,14661,1220
05-2025,Bóg techy. Jak wielkie firmy technologiczne przejmują władzę nad Polską i światem,Sylwia Czubkowska,108,nowosc,7.7,1047,4035,174
05-2025,Blackout,Marc Elsberg,109,spadek,7.2,7852,17025,1176
05-2025,Plagiat,Paulina Świst,110,spadek,7.5,638,1046,126
05-2025,Nocny welon,Ewa Sobieniewska,111,nowosc,8.3,256,453,44
05-2025,Czas zatrzymany,Maja Lunde,112,nowosc,6.7,364,910,98
05-2025,Wiatr zna moje imię,Isabel Allende,113,nowosc,6.7,218,566,39
05-2025,Przeklęty,Adrian Ksycki,114,nowosc,7.3,214,467,55
05-2025,Cyklop,Marek Krajewski,115,nowosc,6.9,206,458,41
05-2025,Tamte czasy. Raport z teraźniejszości,Martín Caparrós,116,nowosc,6.9,131,971,30
05-2025,Desperatka,Alicja Sinicka,117,nowosc,7.4,742,1339,139
05-2025,Todo Muere. Wszystko umiera,Juan Gómez-Jurado,118,nowosc,7.2,395,712,63
05-2025,Zbieracze borówek,Amanda Peters,119,awans,7.4,2201,4008,366
05-2025,Cień Endera,Orson Scott Card,120,nowosc,7.8,1393,3395,114
05-2025,Wielki Marsz,Richard Bachman,121,nowosc,7.5,8005,12661,815
05-2025,Miasto Mgieł,Michał Śmielak,122,spadek,7.1,2243,3533,375
05-2025,Niespokojne pokolenie. Jak wielkie przeprogramowanie dzieciństwa spowodowało epidemię chorób psychicznych,Jonathan Haidt,123,spadek,7.8,372,2460,76
